category,porcentaje_gratuitas,aplicaciones
,100.0,3
Events,99.8152059134,3788
Beauty,99.6151379089,6236
Shopping,99.5205479452,20440
News & Magazines,99.3875562567,21553
Dating,99.0634755463,2883
House & Home,99.0319634703,5475
Food & Drink,98.981443299,24250
Art & Design,98.6528161013,12322
Social,98.3987755342,16987
Business,98.3984837716,42210
Music & Audio,98.3221893802,104541
Entertainment,98.2516843529,82079
Libraries & Demo,98.2367758186,2382
Photography,97.7783152512,28942
Finance,97.7501408677,24846
Casino,97.6208459215,2648
Lifestyle,97.5488220423,54586
Trivia,97.5319926874,5470
Comics,97.4730931212,2137
Casual,96.9184260569,20509
Racing,96.8687541639,6004
Communication,96.601598608,18391
Simulation,96.2204007286,15372
Auto & Vehicles,96.1728754366,6872
Health & Fitness,96.0008879868,31532
Word,95.9589480436,4677
Video Players & Editors,95.8328752062,9095
Arcade,95.7606548123,17715
Action,95.7317073171,12628
Books & Reference,95.689447758,78969
Parenting,95.6838565022,1784
Music,95.2286282306,2515
Puzzle,94.9547166787,24954
Travel & Local,94.5131107774,25971
Sports,94.4555082828,22094
Card,94.0735986307,4674
Productivity,94.0492610837,30450
Education,94.0039221811,115242
Tools,93.9930097313,68953
Board,93.6133814864,5261
Maps & Navigation,93.2078716087,10468
Weather,92.1906693712,2958
Adventure,91.8609245358,10124
Educational,90.2827944674,11351
Personalization,90.0391634257,73538
Role Playing,90.0390625,5632
Medical,88.6649673411,12554
Strategy,87.5951854581,4071
