app_name,rating,released
Easy Typing Practice in 1 Day,5.0,2020-05-27
Multilingual Subtitle Translator,5.0,2020-04-28
Redis Desktop Manager,5.0,2020-05-15
Centos8.1,5.0,2020-05-06
MC Epub Reader,5.0,2020-06-10
Blog Data Cloud,5.0,2020-05-13
Bright Sky,5.0,2020-05-25
ARCH for Pocket,5.0,2020-05-07
Modbus Monitor,5.0,2020-04-09
SoundTube,5.0,2020-03-16
Country Music Radio Player,5.0,2020-04-30
Mosiq Player,5.0,2020-05-07
Nostalgie Belgique,5.0,2020-03-27
Melosik - Music Player for Windows,5.0,2020-04-08
A₄ Tone Generator,5.0,2020-06-05
fre:ac - free audio converter,5.0,2020-04-14
Law of attraction: The Secret Manifestation Guide,5.0,2020-06-18
Math for All,5.0,2020-05-04
Kids Math Pro+,5.0,2020-05-05
Get A Move!,5.0,2020-04-15
Baby Sleep - White Noise,5.0,2020-06-04
Home Training App,5.0,2020-04-20
Healthcare Simulations,5.0,2020-05-13
Trance-Energy Radio Chat,5.0,2020-05-21
Wakey-Wakey,5.0,2020-03-26
NoesisGUI Controls Gallery,5.0,2020-05-01
IPv4 Sub Calculator,5.0,2020-06-12
Task Card Creator,5.0,2020-05-12
Glif,5.0,2020-03-24
Avalonia Control Gallery,5.0,2020-06-18
Radiograph,5.0,2020-05-20
Windows Package Manager YAML Generator,5.0,2020-05-19
TilesApp,5.0,2020-04-16
InstantPython,5.0,2020-04-20
Yarn Butler,5.0,2020-04-01
Workstations,5.0,2020-05-11
BedBooking: Booking Calendar & Reservation System,5.0,2020-04-27
Chanty,5.0,2020-05-25
Invoice Manager for Excel,5.0,2020-03-15
Typing Practice Professional,5.0,2020-06-01
SC2 Helper,5.0,2020-05-19
人生必读100本书,5.0,2020-03-17
Freedium,5.0,2020-05-05
Ebooks Library,5.0,2020-06-12
Holy Bible Study And Learn,5.0,2020-04-14
FTAnalyzer,4.5,2020-04-07
Easy Kids Maths,4.5,2020-05-04
Fluent Terminal,4.5,2020-03-31
Windows Terminal Preview,4.5,2020-05-19
Keto Diet App Free Guide - Low Carb Ketogenic Diet,4.5,2020-04-08
Ubuntu 20.04 LTS,4.5,2020-04-17
AutoHotkey Store Edition,4.5,2020-03-19
Real DJ Mixer - Mix and Record Music,4.5,2020-05-14
Bluetooth Audio Receiver,4.5,2020-05-26
UWP Community,4.0,2020-04-26
Relax Forest - Nature sounds,4.0,2020-04-23
uTaskManager,4.0,2020-04-23
News Reader for Vox News,4.0,2020-03-16
Do your own mask,3.5,2020-05-28
Binaural Therapy Meditation,3.5,2020-06-02
Intuit QuickBooks: User Guide for PC and Online,3.5,2020-05-22
Bing COVID-19 Tracker,3.5,2020-04-27
RNLI Launches,3.0,2020-04-30
Ambient Music Radio Player,3.0,2020-04-24
ScreenRecord Master,3.0,2020-04-15
House Music Radio Player,3.0,2020-04-21
Innovation Pipeline,3.0,2020-05-07
Hip Hop Music Radio Player,3.0,2020-04-20
Express Animate Animation Software Free,3.0,2020-04-16
Centos8,3.0,2020-05-25
True Personality Tests,3.0,2020-03-19
EZ Genealogy,3.0,2020-05-20
Upload to Google Photos,2.5,2020-05-21
Multilingual Translator,2.0,2020-04-30
Multilingual Translator,2.0,2020-04-30
Grape Messenger,2.0,2020-05-12
Android Phone Manager.,1.5,2020-05-20
Client for Google Books.,1.5,2020-05-26
Translator (Google Translate & DeepL Translator),1.5,2020-05-18
Screen Mirror to ChromeCast.,1.0,2020-05-09
Cast to Miracast,1.0,2020-06-18
Voice Assistant for Alexa.,1.0,2020-05-21
eBooks for Nook,1.0,2020-06-16
Mobi Books (Kindle),1.0,2020-06-10
"eBook Reader (ePub, Mobi and PDF books)",1.0,2020-05-25
eBooks for Kindle,1.0,2020-05-06
KReader for Kindle Books,1.0,2020-05-22
Store Apps Community,1.0,2020-03-28
EasyBanner Free,1.0,2020-03-30
Neato BotVac Communication,1.0,2020-04-09
PSD Viewer.,1.0,2020-05-09
Sync for GoPro,1.0,2020-06-09
HEVC to MP4 Converter..,1.0,2020-05-25
Remote for Sonos.,1.0,2020-05-09
Screen Mirror to Fire TV..,1.0,2020-05-09
Templates for Google Sheets.,1.0,2020-05-15
MOV to MP4 Converter,1.0,2020-06-19
eReader for Nook Books,1.0,2020-05-15
Cast to Roku.,1.0,2020-05-09
Stream to LG TV.,1.0,2020-05-15
EPS Viewer.,1.0,2020-05-19
Control for SmartThings.,1.0,2020-05-25
Viewer for Turbo Tax.,1.0,2020-05-07
Cast to Samsung TV.,1.0,2020-05-09
Client for Amazon Photos.,1.0,2020-05-05
Mirror to Samsung TV,1.0,2020-05-20
Connect to iPhone / iPad,1.0,2020-05-29
Connect for Sonos.,1.0,2020-05-17
Screen Mirror to Roku.,1.0,2020-05-10
Screen Mirror to Sony TV.,1.0,2020-05-15
Client for Google Calendar..,1.0,2020-05-11
Gantt Chart Maker.,1.0,2020-05-15
Screen Mirror to Apple TV.,1.0,2020-05-10
Screen Mirror to LG Smart TV.,1.0,2020-05-10
Viewer for Visio.,1.0,2020-05-28
Cast to TCL TV.,1.0,2020-05-12
AirPlay,1.0,2020-06-17
CAD Viewer.,1.0,2020-05-13
Backup to Google Drive.,1.0,2020-05-27
Cast to ChromeCast.,1.0,2020-05-19
Agenda for Google Calendar.,1.0,2020-05-19
Stream to ChromeCast.,1.0,2020-05-12
AirPlay to Apple TV.,1.0,2020-05-15
Connect for Bose.,1.0,2020-05-18
DWG Viewer.,1.0,2020-05-13
