aplicaciones,category
11554,Music & Audio
9703,Education
7931,Entertainment
5696,Books & Reference
5471,Tools
5406,Personalization
3368,Lifestyle
3015,Food & Drink
2776,Business
2642,Health & Fitness
2340,Shopping
1950,Puzzle
1853,Productivity
1777,Communication
1683,Social
1541,Casual
1518,News & Magazines
1482,Arcade
1448,Finance
1325,Sports
1231,Photography
1070,Simulation
1057,Travel & Local
1056,Art & Design
946,Action
939,Adventure
817,Educational
769,Medical
762,Video Players & Editors
666,Trivia
509,Beauty
501,Auto & Vehicles
485,Role Playing
443,Word
436,Board
431,Maps & Navigation
427,Racing
412,House & Home
390,Dating
294,Strategy
273,Card
271,Music
238,Events
168,Libraries & Demo
145,Casino
142,Parenting
115,Weather
104,Comics
